campaign_id,study_id,objective_purchase_id,objective_session_id,ds
6795773503955,4287253134828020,782050654580798,773342022531899,2025-10-15
6821989112355,3707820796192941,756200093909199,2296405460820176,2025-10-15
6689262540155,1336163678045060,638918032291663,1534302584257928,2025-10-15
6689270882155,2264130587348685,1094071236164751,1804341156870444,2025-10-15
6878197690555,782677271019949,2253386461846985,1445159280080428,2025-10-15
6821953649555,1302086531327610,775427398679569,4238958683016591,2025-10-15
6776135039755,1763846464258075,2515093758867309,751616394404709,2025-10-15
120226962018280402,1342338100664764,727696636923570,732567829759415,2025-10-15
120228944311010402,3310909419047673,1478126833331610,656214053747524,2025-10-15
120219957032980402,1733167920710401,736829996189545,1704493463593095,2025-10-15
120219957447140402,1496066321733826,1277058947233679,778836694880051,2025-10-15
120219959645930402,795936866270096,1856133278656891,1507925770562812,2025-10-15
